,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
0,New Norfolk,AU,75.2,-42.78,147.06,33,0,13.87
1,Pavlogradka,RU,10.36,54.2,73.56,74,12,12.95
2,Saldanha,PT,20.98,41.42,-6.55,80,0,2.77
3,Berlevag,NO,14.68,70.86,29.09,100,48,3.51
4,Kapaa,US,78.1,22.08,-159.32,68,40,6.93
5,Maniitsoq,GL,9.28,65.42,-52.9,100,20,4.07
6,Butaritari,KI,83.98,3.07,172.79,100,80,15.19
7,Rikitea,PF,80.2,-23.12,-134.97,97,88,12.46
8,Egvekinot,RU,-24.2,66.32,-179.17,34,24,11.16
9,Castro,CL,53.6,-42.48,-73.76,76,0,4.7
10,Arraial do Cabo,BR,76.42,-22.97,-42.02,87,0,14.14
11,Zhangye,CN,13.06,38.94,100.46,83,32,3.85
12,Husavik,CA,12.16,50.56,-96.99,79,8,7.92
13,Hobart,AU,75.2,-42.88,147.33,33,0,13.87
14,Tasiilaq,GL,14,65.61,-37.64,85,24,2.24
15,Narsaq,GL,21.2,60.91,-46.05,73,32,2.24
16,Carnarvon,ZA,50.86,-30.97,22.13,65,0,5.53
17,Norman Wells,CA,-11.21,65.28,-126.83,63,75,17.22
18,Yellowknife,CA,-27.41,62.45,-114.38,67,20,5.82
19,Polunochnoye,RU,14.32,60.87,60.43,72,48,7.31
20,Barrow,AR,64.09,-38.31,-60.23,97,92,10.16
21,Cabo San Lucas,MX,72.57,22.89,-109.91,64,5,4.7
22,Atuona,PF,81.28,-9.8,-139.03,100,100,14.7
23,Hambantota,LK,75.2,6.12,81.12,100,75,3.36
24,Bambous Virieux,MU,78.8,-20.34,57.76,74,40,9.17
25,Taoudenni,ML,42.67,22.68,-3.98,31,0,11.56
26,Oistins,BB,75.2,13.07,-59.53,78,40,12.75
27,Paamiut,GL,29.26,61.99,-49.67,100,8,6.35
28,Baracoa,CU,74.26,20.35,-74.5,100,100,9.6
29,Vila Velha,BR,80.6,-3.71,-38.6,88,20,3.36
30,Boguchany,RU,-12.05,58.38,97.46,38,80,5.35
31,Hithadhoo,MV,81.37,-0.6,73.08,100,56,6.76
32,Chokurdakh,RU,-26.72,70.62,147.9,42,20,2.89
33,Dikson,RU,0.64,73.51,80.55,94,80,30.69
34,Boa Vista,BR,84.2,2.82,-60.67,45,0,13.87
35,Mataura,NZ,62.38,-46.19,168.86,78,36,7.54
36,Benjamin Hill,MX,52.84,30.17,-111.1,61,24,4.52
37,East London,ZA,69.76,-33.02,27.91,100,0,5.08
38,Hasaki,JP,45.3,35.73,140.83,45,20,13.87
39,Pisco,PE,71.6,-13.71,-76.2,88,0,18.34
40,Salmon Creek,US,45.12,45.71,-122.66,64,1,8.05
41,Hermanus,ZA,54.55,-34.42,19.24,96,76,2.73
42,Ponazyrevo,RU,19.81,58.36,46.31,86,88,6.53
43,Cape Town,ZA,59,-33.93,18.42,82,0,3.36
44,Bethel,US,31.42,60.79,-161.76,93,90,10.29
45,Vaini,IN,55.4,15.34,74.49,93,0,5.91
46,Victoria,BN,84.2,5.28,115.24,79,75,3.36
47,Tayshet,RU,-14.57,55.94,98.01,43,32,3.06
48,Tyukhtet,RU,3.79,56.54,89.31,63,44,9.89
49,Padang,ID,82.4,-0.92,100.36,83,20,2.24
50,Pyaozerskiy,RU,12.34,65.83,31.17,88,64,2.55
51,Saint-Philippe,CA,5.47,45.36,-73.48,78,1,2.24
52,Bluff,AU,91.72,-23.58,149.07,39,0,12.95
